"TIME","GEO","SPECIES","SPECIES_LABEL","FISHREG","UNIT","Value","Flag and Footnotes"
"2012","Belgium","HER","Atlantic herring - Clupea harengus","Atlantic, Northeast","Tonnes live weight","3.8",""
"2012","Belgium","HER","Atlantic herring - Clupea harengus","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","HER","Atlantic herring - Clupea harengus","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","HER","Atlantic herring - Clupea harengus","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","HER","Atlantic herring - Clupea harengus","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","HKE","European hake - Merluccius merluccius","Atlantic, Northeast","Tonnes live weight","39.5",""
"2012","Belgium","HKE","European hake - Merluccius merluccius","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","HKE","European hake - Merluccius merluccius","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","HKE","European hake - Merluccius merluccius","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","HKE","European hake - Merluccius merluccius","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","HMM","Mediterranean horse mackerel - Trachurus mediterraneus","Atlantic, Northeast","Tonnes live weight",":",""
"2012","Belgium","HMM","Mediterranean horse mackerel - Trachurus mediterraneus","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","HMM","Mediterranean horse mackerel - Trachurus mediterraneus","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","HMM","Mediterranean horse mackerel - Trachurus mediterraneus","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","HMM","Mediterranean horse mackerel - Trachurus mediterraneus","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","HOM","Atlantic horse mackerel - Trachurus trachurus","Atlantic, Northeast","Tonnes live weight",":",""
"2012","Belgium","HOM","Atlantic horse mackerel - Trachurus trachurus","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","HOM","Atlantic horse mackerel - Trachurus trachurus","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","HOM","Atlantic horse mackerel - Trachurus trachurus","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","HOM","Atlantic horse mackerel - Trachurus trachurus","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
