"TIME","GEO","SPECIES","FISHREG","UNIT","Value","Flag and Footnotes"
"2008","Bulgaria","All aquatic organisms","Atlantic, Northeast","Tonnes live weight",":",""
"2008","Bulgaria","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Bulgaria","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight","7 666.08",""
"2008","Bulgaria","Salmons, trouts, smelts","Total fishing areas","Tonnes live weight",":",""
"2008","Bulgaria","Salmons, trouts, smelts","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Bulgaria","Salmons, trouts, smelts","Atlantic, Northeast","Tonnes live weight",":",""
"2008","Bulgaria","Salmons, trouts, smelts","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Bulgaria","Salmons, trouts, smelts","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Bulgaria","Cods, hakes, haddocks","Total fishing areas","Tonnes live weight","0.01",""
"2008","Bulgaria","Cods, hakes, haddocks","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Bulgaria","Cods, hakes, haddocks","Atlantic, Northeast","Tonnes live weight",":",""
"2008","Bulgaria","Cods, hakes, haddocks","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Bulgaria","Cods, hakes, haddocks","Mediterranean and Black Sea","Tonnes live weight","0.01",""
"2008","Bulgaria","Herrings, sardines, anchovies","Total fishing areas","Tonnes live weight","4 337.01",""
"2008","Bulgaria","Herrings, sardines, anchovies","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Bulgaria","Herrings, sardines, anchovies","Atlantic, Northeast","Tonnes live weight",":",""
"2008","Bulgaria","Herrings, sardines, anchovies","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Bulgaria","Herrings, sardines, anchovies","Mediterranean and Black Sea","Tonnes live weight","4 337.01",""
"2008","Bulgaria","Tunas, bonitos, billfishes","Total fishing areas","Tonnes live weight","16",""
"2008","Bulgaria","Tunas, bonitos, billfishes","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Bulgaria","Tunas, bonitos, billfishes","Atlantic, Northeast","Tonnes live weight",":",""
"2008","Bulgaria","Tunas, bonitos, billfishes","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Bulgaria","Tunas, bonitos, billfishes","Mediterranean and Black Sea","Tonnes live weight","16",""
"2008","Bulgaria","European sprat - Sprattus sprattus","Total fishing areas","Tonnes live weight","4 309",""
"2008","Bulgaria","European sprat - Sprattus sprattus","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Bulgaria","European sprat - Sprattus sprattus","Atlantic, Northeast","Tonnes live weight",":",""
"2008","Bulgaria","European sprat - Sprattus sprattus","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Bulgaria","European sprat - Sprattus sprattus","Mediterranean and Black Sea","Tonnes live weight","4 309",""
"2008","Denmark","All aquatic organisms","Total fishing areas","Tonnes live weight","690 580.51",""
"2008","Denmark","All aquatic organisms","Atlantic, Northwest","Tonnes live weight","3 804",""
"2008","Denmark","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","686 776.51",""
"2008","Denmark","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Denmark","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Denmark","Salmons, trouts, smelts","Total fishing areas","Tonnes live weight","105.09",""
"2008","Denmark","Salmons, trouts, smelts","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Denmark","Salmons, trouts, smelts","Atlantic, Northeast","Tonnes live weight","105.09",""
"2008","Denmark","Salmons, trouts, smelts","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Denmark","Salmons, trouts, smelts","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Denmark","Cods, hakes, haddocks","Total fishing areas","Tonnes live weight","86 681.22",""
"2008","Denmark","Cods, hakes, haddocks","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Denmark","Cods, hakes, haddocks","Atlantic, Northeast","Tonnes live weight","86 681.22",""
"2008","Denmark","Cods, hakes, haddocks","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Denmark","Cods, hakes, haddocks","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Denmark","Herrings, sardines, anchovies","Total fishing areas","Tonnes live weight","232 231.01",""
"2008","Denmark","Herrings, sardines, anchovies","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Denmark","Herrings, sardines, anchovies","Atlantic, Northeast","Tonnes live weight","232 231.01",""
"2008","Denmark","Herrings, sardines, anchovies","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Denmark","Herrings, sardines, anchovies","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Denmark","Tunas, bonitos, billfishes","Total fishing areas","Tonnes live weight",":",""
"2008","Denmark","Tunas, bonitos, billfishes","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Denmark","Tunas, bonitos, billfishes","Atlantic, Northeast","Tonnes live weight",":",""
"2008","Denmark","Tunas, bonitos, billfishes","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Denmark","Tunas, bonitos, billfishes","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Denmark","European sprat - Sprattus sprattus","Total fishing areas","Tonnes live weight","126 692.01",""
"2008","Denmark","European sprat - Sprattus sprattus","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Denmark","European sprat - Sprattus sprattus","Atlantic, Northeast","Tonnes live weight","126 692.01",""
"2008","Denmark","European sprat - Sprattus sprattus","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Denmark","European sprat - Sprattus sprattus","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Germany (until 1990 former territory of the FRG)","All aquatic organisms","Total fishing areas","Tonnes live weight","207 436.1",""
